,actor,episod,season
0,Jennifer Aniston,E1,S1
1,Courteney Cox,E1,S1
2,Lisa Kudrow,E1,S1
3,Matt LeBlanc,E1,S1
4,Matthew Perry,E1,S1
5,David Schwimmer,E1,S1
6,John Allen Nelson,E1,S1
7,Clea Lewis,E1,S1
8,Cynthia Mann,E1,S1
9,Barry Heins,E1,S1
10,Jennifer Aniston,E2,S1
11,Courteney Cox,E2,S1
12,Lisa Kudrow,E2,S1
13,Matt LeBlanc,E2,S1
14,Matthew Perry,E2,S1
15,David Schwimmer,E2,S1
16,Christina Pickles,E2,S1
17,Anita Barone,E2,S1
18,Jessica Hecht,E2,S1
19,Mitchell Whitfield,E2,S1
20,Elliott Gould,E2,S1
21,Christopher Miranda,E2,S1
22,Joan Pringle,E2,S1
23,Merrill Markoe,E2,S1
24,James Michael Tyler,E2,S1
25,Jennifer Aniston,E3,S1
26,Courteney Cox,E3,S1
27,Lisa Kudrow,E3,S1
28,Matt LeBlanc,E3,S1
29,Matthew Perry,E3,S1
30,David Schwimmer,E3,S1
31,Geoffrey Lower,E3,S1
32,Beth Grant,E3,S1
33,Jenifer Lewis,E3,S1
34,Renee Fishman,E3,S1
35,James Michael Tyler,E3,S1
36,Jennifer Aniston,E4,S1
37,Courteney Cox,E4,S1
38,Lisa Kudrow,E4,S1
39,Matt LeBlanc,E4,S1
40,Matthew Perry,E4,S1
41,David Schwimmer,E4,S1
42,Mary Pat Gleason,E4,S1
43,Marianne Hagan,E4,S1
44,Michele Maika,E4,S1
45,Leesa Zelkin,E4,S1
46,Sean Whalen,E4,S1
47,Benjamin Caya,E4,S1
48,Jeff Astrof,E4,S1
49,Adam Chase,E4,S1
50,Mike Sikowitz,E4,S1
51,James Michael Tyler,E4,S1
52,Jennifer Aniston,E5,S1
53,Courteney Cox,E5,S1
54,Lisa Kudrow,E5,S1
55,Matt LeBlanc,E5,S1
56,Matthew Perry,E5,S1
57,David Schwimmer,E5,S1
58,Camille Saviola,E5,S1
59,Kim Gillingham,E5,S1
60,Jack Armstrong,E5,S1
61,Maggie Wheeler,E5,S1
62,Gorja Max,E5,S1
63,James Michael Tyler,E5,S1
64,Jennifer Aniston,E6,S1
65,Courteney Cox,E6,S1
66,Lisa Kudrow,E6,S1
67,Matt LeBlanc,E6,S1
68,Matthew Perry,E6,S1
69,David Schwimmer,E6,S1
70,Sofia Milos,E6,S1
71,June Gable,E6,S1
72,James Burrows,E6,S1
73,Jillian Fontaine,E6,S1
74,Bryan Hanna,E6,S1
75,Jennifer Aniston,E7,S1
76,Courteney Cox,E7,S1
77,Lisa Kudrow,E7,S1
78,Matt LeBlanc,E7,S1
79,Matthew Perry,E7,S1
80,David Schwimmer,E7,S1
81,Jill Goodacre,E7,S1
82,Larry Hankin,E7,S1
83,Cosimo Fusco,E7,S1
84,Jennifer Aniston,E8,S1
85,Courteney Cox,E8,S1
86,Lisa Kudrow,E8,S1
87,Matt LeBlanc,E8,S1
88,Matthew Perry,E8,S1
89,David Schwimmer,E8,S1
90,Christina Pickles,E8,S1
91,Elinor Donahue,E8,S1
