,title,description,season,episod,rating,vote,date
0, The One Where Monica Gets a Roommate,"Monica and the gang introduce Rachel to the ""real world"" after she leaves her fiancé at the altar.",S1,E1,"8,1",10 k,"mar., 16 avr. 1996"
1, The One with the Sonogram at the End,Ross finds out his ex-wife is pregnant. Rachel returns her engagement ring to Barry. Monica becomes stressed when her and Ross's parents come to visit.,S1,E2,"7,9",8 k,"jeu., 29 sept. 1994"
2, The One with the Thumb,Monica becomes irritated when everyone likes her new boyfriend more than she does. Chandler resumes his smoking habit. Phoebe is given $7000 when she finds a thumb in a can of soda.,S1,E3,"8,0","7,5 k","jeu., 6 oct. 1994"
3, The One with George Stephanopoulos,"Joey and Chandler take Ross to a hockey game to take his mind off the anniversary of the first time he slept with Carol, while the girls become depressed when they realize they don't have a 'plan'.",S1,E4,"7,9","7,3 k","jeu., 13 oct. 1994"
4, The One with the East German Laundry Detergent,"Eager to spend time with Rachel, Ross pretends his washroom is rat-infested so he can join her at the laundromat. Meanwhile, Joey has Monica pose as his girlfriend, and Chandler struggles to break up with his girlfriend.",S1,E5,"8,3","7,3 k","jeu., 20 oct. 1994"
5, The One with the Butt,Monica's obsessiveness is put to the test after Rachel cleans the apartment. Joey lands a film role as Al Pacino's butt double. Chandler enjoys a relationship with all of the fun but none of the responsibility.,S1,E6,"8,0",7 k,"jeu., 27 oct. 1994"
6, The One with the Blackout,"When New York suffers from a blackout, Ross tries to tell Rachel that he likes her, and Chandler gets stuck in an ATM vestibule with a model.",S1,E7,"8,9","8,7 k","jeu., 3 nov. 1994"
7, The One Where Nana Dies Twice,Monica and Ross mourn the loss of their grandmother. Chandler is shocked to find that people think he is gay.,S1,E8,"7,9","6,8 k","jeu., 10 nov. 1994"
8, The One Where Underdog Gets Away,The gang's plans for Thanksgiving go awry after they get locked out of Monica and Rachel's apartment.,S1,E9,"8,1","6,6 k","jeu., 17 nov. 1994"
9, The One with the Monkey,The gang make (and break) a pact not to bring dates to their New Years Eve party. Phoebe starts dating a scientist. Ross compensates for his loneliness by getting a monkey.,S1,E10,"7,9","6,6 k","jeu., 15 déc. 1994"
10, The One with Mrs. Bing,"Chandler's flamboyant romance-novelist mother comes to visit, and Joey catches her kissing Ross. Meanwhile, Monica and Phoebe fight over a guy in a coma.",S1,E11,"8,0","6,5 k","jeu., 5 janv. 1995"
11, The One with the Dozen Lasagnas,Rachel and Paolo's relationship hits a snag when he makes a pass at Phoebe. Ross refuses to find out the sex of his baby until it's born. Chandler and Joey go shopping for a new kitchen table.,S1,E12,"8,0","6,4 k","jeu., 12 janv. 1995"
12, The One with the Boobies,Joey finds out his dad has a mistress. Rachel tries to even the score after Chandler inadvertently catches a glimpse of her breasts. Phoebe dates a shrink who analyzes the gang.,S1,E13,"8,5","6,8 k","jeu., 19 janv. 1995"
13, The One with the Candy Hearts,"As Valentine's Day approaches; Ross and his date end up at the same restaurant as Carol and Susan, Joey inadvertently sets Chandler up on a blind date with Janice, and the girls burn mementos of their old boyfriends.",S1,E14,"8,1","6,3 k","jeu., 9 févr. 1995"
14, The One with the Stoned Guy,"Monica cooks a gourmet meal for a restaurateur who is looking for a new chef, however he arrives at the apartment stoned. Meanwhile, Ross tries to master 'dirty talk'.",S1,E15,"8,1","6,3 k","jeu., 16 févr. 1995"
15, The One with Two Parts: Part 1,Phoebe feels neglected when Joey falls for her twin sister. Chandler struggles to fire an attractive co-worker. Ross attends Lamaze classes with Carol and Susan.,S1,E16,"8,0","6,2 k","jeu., 23 févr. 1995"
